docid,lat,lng
0,34.2483191527193,-118.3879713743439
1,34.052542,-118.448504
2,34.040539,-118.271387
3,34.059133,-118.248589
4,33.759802,-118.096665
5,33.770508,-118.265628
6,34.30309,-118.480505
7,34.066801,-118.227605
8,34.036777,-118.368841
9,34.06872,-118.064
10,34.039736,-118.236065
11,32.89947,-117.243
12,34.221665,-118.468371
13,33.909914,-117.459053
14,34.14762,-118.147111
15,34.145138,-118.152655
16,34.145119,-118.150133
17,34.118433,-118.149597
18,33.7637,-118.192
19,33.94325,-118.403342
20,34.2387162,-118.554686
21,34.07122,-117.575
22,34.228315,-119.170865
23,33.824004,-116.543589
24,34.0189,-117.38
25,38.69005,-121.58889
26,34.017081,-118.44704
27,34.010021,-118.49583
28,34.1564065,-118.4389655
29,34.138717,-118.35904
30,34.211366,-118.448346
31,33.94756,-118.153806
32,37.80619,-122.4152
33,38.599693,-121.427045
34,37.784912,-122.430237
35,37.78881,-122.401
36,37.791791,-122.411265
37,34.057657,-118.24789
38,34.248959,-118.523887
39,34.241687,-118.528543
40,34.236853,-118.532588
41,34.22947,-118.544934
42,33.740758,-118.28192
43,34.293717,-118.449219
44,34.077588,-118.474585
45,34.145528,-118.050548
46,34.13556,-117.864
47,33.9826,-118.3966
48,34.029971,-118.385231
49,33.777054,-117.870566
50,34.16657601660278,-119.0458546627045
51,33.919899,-117.898618
52,34.192178,-118.934793
53,34.418322,-119.3368
54,34.105275,-117.809208
55,34.147709,-118.136621
56,34.267352,-119.2124
57,34.268756,-119.2154
58,34.268,-119.2492
59,33.917593,-118.425334
60,34.089085,-117.95463
61,33.930663,-118.175758
62,38.539336,-121.732405
63,35.25939,-120.64492
64,33.773005,-118.265821
65,38.66292,-121.2634
66,38.57277,-121.467902
67,38.7042,-121.365
68,38.615468,-121.517263
69,38.552483,-121.4487
70,38.524403,-121.5112
71,38.73323,-120.78962
72,38.356027,-121.9628
73,38.36557,-121.967
74,38.35172,-121.987
75,38.356907,-122.001886
76,38.355867,-121.9862
77,38.351758,-121.994475
78,38.682605,-121.297614
79,38.457369,-121.842567
80,38.72799,-120.828
81,38.6476,-121.067
82,38.40553,-121.391
83,38.74453,-121.17
84,38.618066,-121.334337
85,44.469281,-73.154972
86,38.15485,-121.69
87,38.25281,-122.044229
88,38.23723,-122.123
89,38.105062,-122.265895
90,33.944761,-118.399767
91,38.35109,-121.993654
