station_id,Aspect,Polarity,Summary
0,amenities and location,Positive,good location in Walmart parking lot]
0,accessibility and availability,Positive,good location in Walmart parking lot]
5,accessibility and availability,Positive,the only Supercharger in town]
5,queue and waiting time,Positive,Very busy]
5,customer service,Positive,only a couple being serviced by Tesla]
5,amenities and location,Positive,10 minutes to Starbucks so easy walk while you charge]
10,amenities and location,Positive,great access and gives you plenty to look at while you wait]
10,queue and waiting time,Positive,10 out of 10 electric vehicle drivers give this 5 stars]
17,reliability and maintenance,Negative,Station KEIFER is broken]
17,charging speed and efficiency,Negative,will not start a charging session with the vehicle]
17,payment Options,Negative,charges your card $4]
17,customer service,Negative,Terrible customer service]
65,compatibility and connectivity,Positive,"I hooked up, it identified my car]"
65,payment Options,Positive,I had a credit through Ford]
65,charging speed and efficiency,Positive,"Added about 36%, 100 miles, 27kwh in 25 minutes]"
97,reliability and maintenance,Positive,This is a oasis miracle for someone who has run out of charge and gas simultaneously]
97,accessibility and availability,Positive,this station not been open]
140,charging speed and efficiency,Positive,Fast]
140,price and cost,Negative,expensive]
140,payment Options,Negative,Pricing isn’t quite clear]
140,queue and waiting time,Positive,Had to wait for my cc to clear $12 for 30-45 mins]
221,amenities and location,Positive,"Walking distance to shopping center, restaurants, high school track, grocery store, pharmacy, car dealership, church]"
221,price and cost,Positive,Worked out great and free]
268,charging speed and efficiency,Negative,no fast charging]
268,reliability and maintenance,Negative,slow chargers don't even work]
332,compatibility and connectivity,Negative,CCS port damaged]
332,customer service,Positive,agent was responsive]
332,reliability and maintenance,Negative,not able to juice up my ride]
341,accessibility and availability,Positive,it’s available]
452,accessibility and availability,Negative,didn't find any charging stations]
843,accessibility and availability,Positive,VERY few charging stations in this area]
843,charging speed and efficiency,Neutral,tricky part - the cord for the fact charging plug in was short]
843,compatibility and connectivity,Neutral,requires moving vehicle as close as possible to stretch]
894,charging speed and efficiency,Neutral,charge at 6.5 KwH rate]
894,amenities and location,Positive,"Right in front of the Fine Arts building, at the front of the parking lot]"
894,ease of use,Positive,easy to get to and use]
894,user-interface and mobile app,Negative,expect to download another app to track your charging]
1038,compatibility and connectivity,Positive,Chademo plugs]
1038,reliability and maintenance,Positive,always been up and running with no problems]
1218,accessibility and availability,Negative,Hidden in the back of the building]
1218,user-interface and mobile app,Negative,Need app to start but not free]
1218,compatibility and connectivity,Negative,Couldn't even get it started through the app]
1218,accessibility and availability,Negative,Might be blocked for employees only]
1218,user-interface and mobile app,Negative,The app doesn't even show this charger active on the GreenPoint app]
1276,amenities and location,Positive,"Good place for short quick charge, Right off the highway]"
1276,accessibility and availability,Positive,Check out the hardware
2088,compatibility and connectivity,Negative,need special adaptor to charge a Tesla]
