Aspect,Polarity,Summary,lat,lng,name,business_status,address,types,user_ratings_total,#charging_stations,text,avg_rating
reliability and maintenance,Negative,one station was down],39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
reliability and maintenance,Negative,half the stations were down],39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
accessibility and availability,Positive,Good easy location],39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
charging speed and efficiency,Negative,plugged into the 350kw but really only got 135kw ish],39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
reliability and maintenance,Negative,They're equipment is often broken],39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
queue and waiting time,Negative,there's a line of 4 cars waiting to charge],39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
accessibility and availability,Negative,"EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge)]",39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
compatibility and connectivity,Negative,"Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult]",39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
amenities and location,Positive,"Situated at a nice location, has good restaurants and less crowd]",39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
charging speed and efficiency,Positive,350 kwh super chargers and 150 kwh],39.0819844,-78.21675660000001,Electrify America Charging Station,OPERATIONAL,"747 Fairfax St, Stephens City, VA 22655, USA","point_of_interest, establishment",25,5,"1st visit, one station was down. 4 days later, half the stations were down. Keep an eye on EA app and plug share to keep up to date on its status.Good easy location, plugged into the 350kw but really only got 135kw ish over all . Right off highway at a sheetz so you can snack and goI understand that EA is trying to improve and that being the only super high speed CCS game in town puts a lot of wear on equipment, but dang. They're falling behind on upgrades and renovations and it really shows. They're equipment is often broken and the charging slows considerably on some of the chargers. I'll go to places where Tesla chargers are right near by and there will be 20+ chargers and EA will have 4(2 will be broken, 2 will be in use and there's a line of 4 cars waiting to charge). They really need to upgrade what they've got, by adding chargers in the same bank or really close by. Stop putting 4 in. They're not reliable enough to have such small numbers. 8-10 should be the minimum.Probably the most over complicated system I could imagine... Getting the phone app, charger, and car to simultaneously handshake is stupidity difficult. Took 3 attempts.Situated at a nice location, has good restaurants and less crowd. 350 kwh super chargers and 150 kwh.",3.4
