name,business_status,address,lat,lng,types,rating,user_ratings_total,#charging_stations,text,author_name,author_url,relative_time_description,time
Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA",42.229493,-83.6492643,"point_of_interest, establishment",5,35,5,Charged BMW i3 with no issues.  Charge rate was 49kW on a 350kW charger 🔌,P & M Eastman,https://www.google.com/maps/contrib/107058362721852413137/reviews,3 months ago,2023-08-25 11:53:56
Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA",42.229493,-83.6492643,"point_of_interest, establishment",3,35,5,"Charger worked great, but 48 cents per kilowatt is pretty pricey. Luckily I'm using some of my free juice from Ford so it doesn't hurt. Lol Got 119kw speed out of the 350kw charger, which is what the Lightning was asking for. Needs pull thru spaces for those towing a trailer. I had to block the aisle behind me to be in a stall.",Jeff Frank,https://www.google.com/maps/contrib/112224813956850716271/reviews,8 months ago,2023-03-18 20:06:00
Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA",42.229493,-83.6492643,"point_of_interest, establishment",4,35,5,"Quick charger. A different car pulled up and needed to try 5 different stations to find one that works, but not sure if that was the auto or the stations. No problems for me. Ran a smooth 82kw up to 72%.",Andrew Kennaugh,https://www.google.com/maps/contrib/117260408329682409001/reviews,8 months ago,2023-03-27 09:03:05
Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA",42.229493,-83.6492643,"point_of_interest, establishment",5,35,5,"Excellent location well lit , safe and secure. Never find it busy. Charging speed is around 78 to 200 kw on mache. However quite expensive. For 40 minutes charging paid 26 bucks. Gained 150 additional miles. Not bad speed at all but little expensive.",santosh lalwani,https://www.google.com/maps/contrib/104050500006091947163/reviews,a year ago,2022-02-21 23:29:20
Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA",42.229493,-83.6492643,"point_of_interest, establishment",5,35,5,"These chargers have recently been updated, they seem to be working decently. I'm averaging 100kw and have seen 130. My car is capable of 150. Ish.

Still working fairly well.

The chademo charger is usually broken. Though.",Trel Nadal,https://www.google.com/maps/contrib/117092782320463755924/reviews,10 months ago,2023-01-23 16:38:30
ChargePoint Charging Station,OPERATIONAL,"4975 Washtenaw Ave, Ann Arbor, MI 48108, USA",42.2507427,-83.66150710000001,"point_of_interest, establishment",5,1,1,"Two Chargepoint stations on the north side of the BP gas station. Idle fee recently implemented for $10 per hour, which is good because people left their car overtime in the past.",Benjamin Meza-Wilson,https://www.google.com/maps/contrib/106553336201931873362/reviews,6 months ago,2023-05-27 05:08:59
EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA",42.244709,-83.738976,"point_of_interest, establishment",4,8,5,"Worked first time via evgo app. However, maxed out at 42kwh instead of 50.",Alex Aquino,https://www.google.com/maps/contrib/111637626006401130646/reviews,a year ago,2022-04-29 20:35:07
EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA",42.244709,-83.738976,"point_of_interest, establishment",4,8,5,Super fast charging! Fills your batteries up very quick while draining your wallet. 12 minutes was almost five dollars. Very expense at 35 cents a minute.,michael graf,https://www.google.com/maps/contrib/103231131761612476047/reviews,3 years ago,2020-10-03 23:50:56
EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA",42.244709,-83.738976,"point_of_interest, establishment",5,8,5,Great easy amd fast charger!!!  CCS connection and plug n charge with Chevy products,Sarah Cohen,https://www.google.com/maps/contrib/113344628314202332705/reviews,5 months ago,2023-06-28 17:07:34
EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA",42.244709,-83.738976,"point_of_interest, establishment",4,8,5,Couldn't get it to charge. Probably need to upgrade this one.,Benjamin Meza,https://www.google.com/maps/contrib/109346170504602502727/reviews,3 months ago,2023-09-01 00:27:15
EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA",42.244709,-83.738976,"point_of_interest, establishment",5,8,5,Efficient! Easy to use!,Filippo_b,https://www.google.com/maps/contrib/104567316948851750335/reviews,3 months ago,2023-08-25 15:05:02
Shell Recharge Charging Station,OPERATIONAL,"5645 Jackson Rd, Ann Arbor, MI 48103, USA",42.2863464,-83.842995,"point_of_interest, establishment",2,1,1,"Tried to help someone unplug their hybrid SUV here in the dead of winter. Plug had likely frozen into the port and was impossible to get out without calling for help. With that in mind I'd be wary of charging here if I had an EV. Shell, if you're reading this, please put a defrost feature on your chargers.",C,https://www.google.com/maps/contrib/105259412028968124602/reviews,2 months ago,2023-10-01 22:07:29
Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA",42.23278930000001,-83.6785266,"point_of_interest, establishment",5,14,5,"Not sure what the bad reviews are about, everything seems to work as it should for me. Only one here at 5 in the afternoon, and parked in the shade of a tree. 5🌟",Alex Bennett,https://www.google.com/maps/contrib/107485367846135990036/reviews,7 months ago,2023-05-11 17:04:54
Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA",42.23278930000001,-83.6785266,"point_of_interest, establishment",3,14,5,"Update (March 2022) It appears some of the issues have been resolved. I am now seeing speeds up to 600mi/hr at 125kw. Hopefully this is the new standard for this station.

This station appears to be getting worse. Upon opening, chargers would max out at around 400 mi/hr. About a month later that was down to roughly 275 mi/hour. Now the best I have seen is 130 mi/hr at 40kw. Have tested multiple stalls each time, at varying levels of charge, with and without preconditioning the battery.",Dawson Davis,https://www.google.com/maps/contrib/105569123387303324021/reviews,8 months ago,2023-03-29 14:46:09
Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA",42.23278930000001,-83.6785266,"point_of_interest, establishment",5,14,5,This charger’s nicer now that Meijer’s nicer and I can get Starbucks at Target!,Steve Pierce,https://www.google.com/maps/contrib/108444784672324532507/reviews,a week ago,2023-11-29 12:51:02
Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA",42.23278930000001,-83.6785266,"point_of_interest, establishment",1,14,5,Lights are not turned on  at the Meijer parking lot where the Superchargers are. No very safe.,Francis Lum,https://www.google.com/maps/contrib/110797196913260238491/reviews,3 weeks ago,2023-11-16 18:08:15
Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA",42.23278930000001,-83.6785266,"point_of_interest, establishment",5,14,5,"Rarely busy, always clean, no charging speed issues.",TH. Fields,https://www.google.com/maps/contrib/100836144629098143712/reviews,5 months ago,2023-06-23 11:51:21
ChargePoint Charging Station,OPERATIONAL,"301 E Huron St, Ann Arbor, MI 48104, USA",42.28209630000001,-83.7452472,"point_of_interest, establishment",5,9,5,"I got confused when I saw many police cars or fire trucks at this charging location.
However, it is OPEN for PUBLIC!
Fast charging and location is at the center of downtown Ann Arbor! You can enjoy a lot of local restaurants, cafe, tea house while charging.",april zheng,https://www.google.com/maps/contrib/101466950163995087505/reviews,3 weeks ago,2023-11-17 13:19:35
ChargePoint Charging Station,OPERATIONAL,"301 E Huron St, Ann Arbor, MI 48104, USA",42.28209630000001,-83.7452472,"point_of_interest, establishment",5,9,5,Another fast charge not as quick as Electrify America but it was good,Barry Chapman,https://www.google.com/maps/contrib/118065578428907544448/reviews,2 weeks ago,2023-11-25 01:20:57
ChargePoint Charging Station,OPERATIONAL,"301 E Huron St, Ann Arbor, MI 48104, USA",42.28209630000001,-83.7452472,"point_of_interest, establishment",5,9,5,Fast EV charging stations. Access from Ann street. Input 320 E. Ann street for directions. In the parking lot for city hall and the police station.,Benjamin Meza-Wilson,https://www.google.com/maps/contrib/106553336201931873362/reviews,6 months ago,2023-06-06 06:45:32
ChargePoint Charging Station,OPERATIONAL,"301 E Huron St, Ann Arbor, MI 48104, USA",42.28209630000001,-83.7452472,"point_of_interest, establishment",5,9,5,Worked via the app. Charged up to 100%. Thanks for the convenient location.,Alex Aquino,https://www.google.com/maps/contrib/111637626006401130646/reviews,a year ago,2022-05-01 15:49:57
