docid,lat,lng,lat,lng,level_2,name,business_status,address,types,user_ratings_total,#charging_stations,comments,avg_rating
113,40.119161,-88.244185,40.1191238,-88.2445901,1778,Electric Vehicle Charging Station,OPERATIONAL,"123 W Hill St, Champaign, IL 61820, USA","point_of_interest, establishment",1,1,"Level 2 Chargers available in parking garage on 3rd level. The only spot to charge in Champaign (except for Nissan dealership). There is currently no fee to charge, but there is a time based fee to park.",5.0
122,44.586123,-123.115389,44.5861205,-123.1153625,7459,ChargePoint Charging Station,OPERATIONAL,"Ellingson Rd SW, Albany, OR 97321, USA","point_of_interest, establishment",4,4,This EV charging station is maintained by Linn Benton Community College. Charging here is free. You just need to register an account with ChargePoint.Electrifying,5.0
207,30.206145,-97.759109,30.2060843,-97.759519,13511,Nissan Charging Station,OPERATIONAL,"4914 S I-35 Frontage Rd, Austin, TX 78745, USA","point_of_interest, establishment",3,3,Gives +~ 19 miles per hour of charge.   Good location,4.0
214,36.010279,-84.268049,36.010202,-84.268102,10666,Electric Vehicle Charging Station,OPERATIONAL,"101 S Illinois Ave, Oak Ridge, TN 37830, USA","point_of_interest, establishment",4,4,Great for electric power cars. Enough to useConvenient.,4.5
221,30.062535,-94.133511,30.062232,-94.1337156,1481,Nissan Charging Station,OPERATIONAL,"1515 I-10 S, Beaumont, TX 77701, USA","point_of_interest, establishment",19,5,"Really useful, reasonably fast charging station for electric cars, very much available to non-Nissan cars. The only recharging spot between High Island, Winnie and Beaumont.Thank you Angie great customer service and staff. Got me in and out very happy.The car salesman was great he knew what to do too get me what I neededThe charging station was on and available right by the service entrance on the left.5 Star all the way.",5.0
234,29.625565,-95.22531,29.6258655,-95.2254857,962,Electric Vehicle Charging Station,OPERATIONAL,"11911 Gulf Fwy, Houston, TX 77034, USA","point_of_interest, establishment",1,1,This is a Charge-Point station located in the Fast Park Hobby airport. Parking is relatively cheap and covered. Only negative is the spaces are very tight.,4.0
236,29.990205,-95.423096,29.9900534,-95.4232184,16129,Electric Vehicle Charging Station,OPERATIONAL,"15300 North Fwy, Houston, TX 77090, USA","point_of_interest, establishment",3,3,"So I have a 2020 Nissan Lead came to the charging station here at the Nissan Dealership (free to charge) I was on 33% for batter left and it took 1 hour and 5 minutes to get me back to 100%. I wasn’t sure which charger to use so I went Inside and asked the staff for help, very professional very nice very informative and also offered refreshments and made sure I was aware I could come inside and wait if I wanted to. Definitely made my experience Great…. I came around noon and there was no other cars for the charger… great locationLocated in front of the parts department building. Easy to spot, dealer staff was friendly and helpful.",5.0
240,31.078549,-97.692745,31.0785389,-97.6927806,599,Nissan Charging Station,OPERATIONAL,"5501 E Central Texas Expy, Killeen, TX 76543, USA","point_of_interest, establishment",1,1,Grateful I got to use their charger. They moved one of the vehicles to make space for my car to charge. Thank you!,5.0
248,32.829838,-96.629967,32.829421,-96.6294802,9080,Electric Vehicle Charging Station,OPERATIONAL,"5031 N Galloway Ave, Mesquite, TX 75150, USA","point_of_interest, establishment",2,2,They ok,3.0
251,32.97135,-96.719803,32.971333,-96.719803,2155,Electric Vehicle Charging Station,OPERATIONAL,"1777 N Central Expy, Richardson, TX 75080, USA","point_of_interest, establishment",4,4,"These EV chargers are at a Nissan dealership in spots that say “customer parking.” I didn’t want to be talked to by dealers, so I didn’t charge here or take pictures.This station is in the parking lot of a dealership, charged here frequently, no salespeople approached me during any visits.",4.5
254,31.44646,-100.496244,31.4465945,-100.4961012,15669,Nissan Charging Station,OPERATIONAL,"4052 W Houston Harte Expy, San Angelo, TX 76901, USA","point_of_interest, establishment",3,3,"This is the only Nissan that charges a $20.00 flat rate for using their charging station. The station is a type two so it’s super slow. DO NOT come here, parts clerk needs customer service classes. There is another charging station in town go there.Nissan is amazing I would definitely recommend coming here to friendsLove this charger would definitely recommend",3.6666666666666665
257,29.457047,-98.625324,29.4572827,-98.6249835,14388,Electric Vehicle Charging Station,OPERATIONAL,"6990 Northwest Loop 410, San Antonio, TX 78238, USA","point_of_interest, establishment",2,2,Free and friendly EV charging! Thanks Ingram Park Nissan!  6.6 kWWhat's the world coming to,5.0
261,29.645808,-95.57612,29.6458236,-95.5759439,3217,Nissan Charging Station,OPERATIONAL,"12230 Southwest Fwy, Stafford, TX 77477, USA","point_of_interest, establishment",2,2,"a super bad experience, I do not recommend it I gave them a deposit for the purchase and then they sold it to another person and I have many problems getting it backWhile charging station was ICEd, sales staff was proactive about moving vehicle to restore access",2.5
264,28.851423,-96.997881,28.8514425,-96.9978595,7021,Electric Vehicle Charging Station,OPERATIONAL,"6003 N Navarro St, Victoria, TX 77904, USA","point_of_interest, establishment",1,1,Fast charging,5.0
268,38.809675,-77.122192,38.8088389,-77.1230034,219,ChargePoint Charging Station,OPERATIONAL,"200 S Pickett St, Alexandria, VA 22304, USA","point_of_interest, establishment",2,2,Mercedes salesman came out and told me it was a private lot and I couldn't charge there.Not a charging station. Only for dealership,1.0
269,38.899751,-77.460168,38.8997148,-77.459758,3000,Nissan Charging Station,OPERATIONAL,"14840 Stonecroft Blvd, Chantilly, VA 20151, USA","point_of_interest, establishment",1,1,No charging station here,1.0
272,37.042363,-76.388316,37.0424929,-76.3883764,3652,Electric Vehicle Charging Station,OPERATIONAL,"1134 W Mercury Blvd, Hampton, VA 23666, USA","point_of_interest, establishment",1,1,Charger is at Nissan dealership. Very nice and let me charge for about an hour. Unfortunately the fast charge spot was taken by a non-electric vehicle.,4.0
276,37.345779,-79.962578,37.3461812,-79.9622857,4628,Electric Vehicle Charging Station,OPERATIONAL,"6520 Peters Creek Rd, Roanoke, VA 24019, USA","point_of_interest, establishment",1,1,This is a Nissan Leaf charger only.,1.0
279,39.156514,-78.147297,39.156528,-78.147364,6226,Nissan Charging Station,OPERATIONAL,"1230 Millwood Pike, Winchester, VA 22602, USA","point_of_interest, establishment",4,4,"Tri-State Nissan on Rt 50 just east of Winchester. Have a Chademo for the Nissan Leaf and Teslas with the adapter. Also a Level 2. Updated the Chademo last fall to a new unit. Very nice dealership, super friendly staff.This Nissan dealer is the best! They provide a high speed ev charging station free!Level 3",5.0
284,47.778229,-122.344838,47.7783332,-122.3442172,10026,ChargePoint Charging Station,OPERATIONAL,"Edmonds, WA 98026, USA","point_of_interest, establishment",2,2,Only for Nissan cars.Only for Nissan cars,3.0
286,46.236607,-119.128998,46.236689,-119.1294555,645,Electric Vehicle Charging Station,OPERATIONAL,"928 N 28th Ave, Pasco, WA 99301, USA","point_of_interest, establishment",2,2,Couldn’t find the charger.,1.0
287,48.102863,-123.342273,48.1028519,-123.3425146,12407,Electric Vehicle Charging Station,OPERATIONAL,"97 Deer Park Rd, Port Angeles, WA 98362, USA","point_of_interest, establishment",2,2,Visited 2021-05-11. Level 3 charger is working and gives 30 minutes of free charging. Located behind the Nissan dealership. There is a small gazebo and picnic table nearby to sit and wait while charging.,5.0
288,47.207367,-122.294997,47.2072552,-122.2948806,4119,Electric Vehicle Charging Station,OPERATIONAL,"101 Valley Ave NW, Puyallup, WA 98371, USA","point_of_interest, establishment",1,1,Has a fast charger Tesla and level two. Free for everyone but only Chad I open at night 24/7.,5.0
292,47.21978,-122.48576,47.2197153,-122.4858029,7729,Electric Vehicle Charging Station,OPERATIONAL,"4030 S Tacoma Way, Tacoma, WA 98409, USA","point_of_interest, establishment",2,2,"Charging station at Nissan now. Wouldn't take a card payment, machine says ""cash only"" but there's nowhere to insert cash...? Maybe try another dealership?I’ve only been here twice after hours, but it’s a nice level two charging station. It appears to be wide open and there’s no labeling saying we’re not allowed to use it. Nicely lit area.",3.0
299,36.063277,-89.379485,36.0633399,-89.3793589,12834,Electric Vehicle Charging Station,OPERATIONAL,"2700 Parr Ave, Dyersburg, TN 38024, USA","point_of_interest, establishment",1,1,I came into town needing a place to charge my Tesla. The gang at Nissan could not have been nicer about letting me use their EV charger.,5.0
303,36.551978,-82.487762,36.5519586,-82.4879188,6814,Electric Vehicle Charging Station,OPERATIONAL,"2733 E Stone Dr, Kingsport, TN 37660, USA","point_of_interest, establishment",2,2,"Nice charging station, but it's intended for customers of the dealership only.This station belongs to Wallace Nissan. IT IS PRIVATE",2.0
306,36.29062,-86.7051,36.290624,-86.7050507,4250,Electric Vehicle Charging Station,OPERATIONAL,"1550 Gallatin Pike N, Madison, TN 37115, USA","point_of_interest, establishment",4,4,"Easy to find. Easy to charge and it's free. Had both CCS and chadmoWorked great, free, and well maintained!Often people that work there vehicles are blocking chargers 😒 😑Always in good condition",5.0
310,35.181031,-89.895533,35.1811559,-89.8960044,5786,Nissan Charging Station,OPERATIONAL,"2080 Covington Pike, Memphis, TN 38128, USA","point_of_interest, establishment",1,1,Very good charging station.,5.0
311,36.18226,-83.382387,36.1824928,-83.3824683,7692,Electric Vehicle Charging Station,OPERATIONAL,"5496 W Andrew Johnson Hwy, Morristown, TN 37814, USA","point_of_interest, establishment",2,2,30 amps and 2 connections available on the side of the building and 1 more next to service. Free and not bad for the area.Charged my Tesla in no time!,4.0
313,36.110606,-86.743585,36.110311,-86.7437549,5250,Electric Vehicle Charging Station,OPERATIONAL,"307 Thompson Ln, Nashville, TN 37211, USA","point_of_interest, establishment",2,2,Clean people are nice,5.0
324,45.613979,-121.20996,45.613979,-121.20996,12900,Nissan Charging Station,OPERATIONAL,"2400 W 6th St, The Dalles, OR 97058, USA","point_of_interest, establishment",1,1,"May 5, 2023. The station site at this Nissan dealership is out of order..",1.0
337,33.286316,-111.791107,33.2863163,-111.7911071,3991,Nissan Charging Station,OPERATIONAL,"1350 S Gilbert Rd, Chandler, AZ 85286, USA","point_of_interest, establishment",1,1,"The only Chademo charger around that actually works.  Their is a credit card reader that has never worked for me.  If you have a PIN code, it does accept that.  You’ll have to get the PIN from the service department.  They’ll ask if you’re a customer.",4.0
347,32.289823,-110.985646,32.290283,-110.98542,6835,Electric Vehicle Charging Station,OPERATIONAL,"800 W Auto Mall Dr, Tucson, AZ 85705, USA","point_of_interest, establishment",1,1,"The charging station is on the south corner of the building. You can only access it when the dealership is open!  There are two fast chargers and two “slow” chargers, and a dedicated parking spot for each. The CHAdemos plug works as of 5/5/23.",5.0
350,35.310723,-119.035324,35.31081,-119.0353685,8611,Electric Vehicle Charging Station,OPERATIONAL,"2800 Pacheco Rd, Bakersfield, CA 93313, USA","point_of_interest, establishment",5,5,"This charger is located near the entrance of the Nissan Dealership. Easy to find, but I found two electric Nissans parked at the charging stations not charging. Dealership appeared closed Sunday December 26,2021 9:45am. I was able to still park next to them and one of the charge cables still reached my Tesla Model Y. I was able to charge at 21 mi/hr @30a. Charge service is provided at no cost, which I really appreciate. As a new EV owner this really came in clutch until my wall connector is installed at home. Thank you!Charged my Tesla model 3 for free 07/05/2020 using my adapter that came with the car. Charging at 30A max 18mi/hr 6kWh Looks like only two stalls for the adapter I need and one more for another type of charger. It was very big and heavy. They said open to the public until they close the lot. I just pulled up no interaction with anyone. I would come backCharged our car there for free",5.0
367,38.402217,-121.385527,38.4022172,-121.3855275,14894,Nissan Charging Station,OPERATIONAL,"8590 Laguna Grove Dr, Elk Grove, CA 95757, USA","point_of_interest, establishment",1,1,Only one chadmo not two - and the one is broken,2.0
383,33.70711,-116.283712,33.7071101,-116.2837127,6395,Nissan Charging Station,OPERATIONAL,"79125 CA-111, La Quinta, CA 92253, USA","point_of_interest, establishment",1,1,Took to long to charge,2.0
397,38.267202,-122.665068,38.2672022,-122.6650681,7199,Nissan Charging Station,OPERATIONAL,"1250 Auto Center Dr, Petaluma, CA 94952, USA","point_of_interest, establishment",1,1,"In my one experience at 730am, They block the charging station with a Nissan leaf they're trying to sell.  Jokes on them, I was coming to charge my 2016 leaf, looking to buy a new one, guess I was meant to buy a bolt instead, from not this last names dealership row...",1.0
401,37.985253,-122.32124,37.9852533,-122.3212402,11646,Nissan Charging Station,OPERATIONAL,"3277 Auto Plaza, Richmond, CA 94806, USA","point_of_interest, establishment",1,1,It's not for public use. Unable to pay at the station. Maybe will work with cash. Employees had no idea who/how one could charge on it. Not Nissan's responsibility. Sucked because I ended up needing towing.,1.0
431,28.848733,-82.57947,28.849031,-82.578573,14131,Nissan Charging Station,OPERATIONAL,"937 S Suncoast Blvd, Homosassa, FL 34448, USA","point_of_interest, establishment",2,2,A great place to look at a vehicle and by if you like me someWhaaaaat,3.0
432,28.983689,-81.300079,28.9836733,-81.3004671,7660,Electric Vehicle Charging Station,OPERATIONAL,"2600 S Woodland Blvd, DeLand, FL 32720, USA","point_of_interest, establishment",2,2,Great unless someone is parked in your spot to charge.Rented an EV while in Florida. Unfortunately Teslas were all taken. Had to get polestar. The only reliable EVs and charging stations are Tesla. By far.,3.0
433,26.435016,-80.072333,26.4351014,-80.0722362,3856,Nissan Charging Station,OPERATIONAL,"2200 S Federal Hwy, Delray Beach, FL 33483, USA","point_of_interest, establishment",1,1,After months and months of waiting the DC fast charger is finally working. The problem is that they want five dollars per hook up. The arrogant salesperson said that's the going rate. Sorry. I said not if you want to sell me another leaf it isn't. . Very disappointed.,1.0
443,27.485756,-81.481603,27.4857809,-81.4818333,7554,Electric Vehicle Charging Station,OPERATIONAL,"1700 Flare Rd, Sebring, FL 33872, USA","point_of_interest, establishment",1,1,This will become the go to place to charge any year of Nissan Leaf,5.0
445,27.995139,-82.506186,27.9950984,-82.5060246,3939,Nissan Charging Station,OPERATIONAL,"3800 W Hillsborough Ave, Tampa, FL 33614, USA","point_of_interest, establishment",1,1,how long does a full charge take,5.0
449,27.982961,-81.676059,27.9829186,-81.6762228,6899,Nissan Charging Station,OPERATIONAL,"6401 Cypress Gardens Blvd, Winter Haven, FL 33884, USA","point_of_interest, establishment",2,2,Customers only,1.0
450,34.075281,-83.98366,34.0752813,-83.9836607,9361,Nissan Charging Station,OPERATIONAL,"3520 GA-20, Buford, GA 30519, USA","point_of_interest, establishment",1,1,"As of Feb 1, 2023, google maps says this charger is in the parking lot for Urgent Care. There is no charger here. Went over to the Hyundai dealer next door and their charger doesn’t reach the parking space next to it.",1.0
452,33.967935,-84.146036,33.9679359,-84.146036,9850,Nissan Charging Station,OPERATIONAL,"2555 Pleasant Hill Rd, Duluth, GA 30096, USA","point_of_interest, establishment",1,1,Got kicked out at 7:45 with a dead battery. It's not 24 hours,1.0
467,39.391175,-77.407835,39.391464,-77.407866,3271,Electric Vehicle Charging Station,OPERATIONAL,"7418 Grove Rd, Frederick, MD 21704, USA","point_of_interest, establishment",1,1,Could not find the two alleged J1772 chargers. Only found the Chedemao and ccs.,2.0
488,37.50418,-77.61949,37.5041802,-77.6194905,9261,Nissan Charging Station,OPERATIONAL,"11841 Midlothian Turnpike, Midlothian, VA 23113, USA","point_of_interest, establishment",1,1,Can not use credit card or account. Pretty much useless,1.0
492,43.094649,-89.50964,43.094648,-89.5097839,15556,ChargePoint Charging Station,OPERATIONAL,"7428 Terrace Ave, Middleton, WI 53562, USA","point_of_interest, establishment",1,1,Four charging places. Two of them are reserved for disabled parking.,5.0
552,38.447533,-78.870744,38.4469467,-78.8709033,6528,HEC Electric Vehicle Charging Station,OPERATIONAL,"S Liberty St, Harrisonburg, VA 22801, USA","point_of_interest, establishment",2,2,"I’m not sure about the other two (they were being used by other cars but unsure if they worked for them), but the middle charger did not work.",1.0
