docid,lat,lng
1517,34.2483191527193,-118.3879713743439
1523,34.040539,-118.271387
1525,34.059133,-118.248589
1531,33.759802,-118.096665
1552,33.770508,-118.265628
1556,34.30309,-118.480505
1572,34.066801,-118.227605
1573,34.036777,-118.368841
1583,34.06872,-118.064
1589,34.039736,-118.236065
6355,32.89947,-117.243
6405,34.221665,-118.468371
6425,33.909914,-117.459053
6505,34.14762,-118.147111
6506,34.145138,-118.152655
6507,34.145119,-118.150133
6509,34.118433,-118.149597
7172,33.7637,-118.192
7184,33.94325,-118.403342
7192,34.2387162,-118.554686
7194,34.07122,-117.575
7195,34.228315,-119.170865
7196,33.824004,-116.543589
7206,34.0189,-117.38
7212,38.69005,-121.58889
7229,34.017081,-118.44704
7230,34.010021,-118.49583
7233,34.1564065,-118.4389655
7242,34.138717,-118.35904
7245,34.211366,-118.448346
7250,33.94756,-118.153806
7280,37.80619,-122.4152
7286,38.599693,-121.427045
21351,37.784912,-122.430237
21358,37.78881,-122.401
21360,37.791791,-122.411265
21395,34.248959,-118.523887
21396,34.241687,-118.528543
21397,34.236853,-118.532588
21398,34.22947,-118.544934
21402,33.740758,-118.28192
21414,34.293717,-118.449219
21419,34.077588,-118.474585
21450,34.145528,-118.050548
21498,34.13556,-117.864
21524,33.9826,-118.3966
21525,34.029971,-118.385231
21535,33.777054,-117.870566
21559,34.16657601660278,-119.0458546627045
21561,33.919899,-117.898618
21565,34.192178,-118.934793
21566,34.418322,-119.3368
21569,34.105275,-117.809208
21594,34.147709,-118.136621
21606,34.267352,-119.2124
21607,34.268756,-119.2154
21608,34.268,-119.2492
21609,33.917593,-118.425334
21612,34.089085,-117.95463
21618,33.930663,-118.175758
21673,38.539336,-121.732405
21713,35.25939,-120.64492
25171,33.773005,-118.265821
25491,38.66292,-121.2634
25494,38.57277,-121.467902
25497,38.7042,-121.365
25500,38.615468,-121.517263
25501,38.552483,-121.4487
25502,38.524403,-121.5112
25507,38.73323,-120.78962
25511,38.356027,-121.9628
25514,38.36557,-121.967
25515,38.35172,-121.987
25516,38.356907,-122.001886
25517,38.355867,-121.9862
25518,38.351758,-121.994475
25519,38.682605,-121.297614
25520,38.457369,-121.842567
25522,38.72799,-120.828
25523,38.6476,-121.067
25525,38.40553,-121.391
25527,38.74453,-121.17
25610,38.618066,-121.334337
27036,44.469281,-73.154972
27302,38.15485,-121.69
27328,38.25281,-122.044229
27329,38.23723,-122.123
27335,38.105062,-122.265895
28007,33.944761,-118.399767
29862,38.35109,-121.993654
32850,38.578568,-121.491058
32973,44.469281,-73.154972
33177,34.059047,-118.256812
33178,34.033898,-118.256673
33179,34.081998,-118.21713
33180,33.799476,-118.257977
33182,34.208708,-118.444358
33183,34.241928,-118.390147
33351,47.044011,-122.822404
33378,45.508396,-122.664667
33544,39.15,-123.2091
33545,38.368755,-121.961192
33555,38.54643,-121.7388
33556,38.5443,-121.738
33557,38.544538,-121.749713
33558,38.55755,-121.6947
33559,38.569412,-121.721373
33564,33.84788,-118.13889
33690,37.94495,-122.5096
33695,37.7136,-122.2087
33717,47.443377,-122.296229
33921,40.119161,-88.244185
34106,43.608009,-116.197968
34849,44.99574,-123.019758
34859,45.508795,-122.8249
35146,38.2482,-122.0678
35258,44.928439,-124.015824
35272,40.814019,-73.608978
35284,28.535975,-81.379663
35290,43.083979,-89.363091
35480,44.586123,-123.115389
35557,45.545898,-122.707102
35560,35.249929,-120.689683
35561,35.25982,-120.676
35562,42.702424,-73.857693
35563,42.969823,-73.773021
35620,47.673347,-117.388933
35621,47.65579218,-117.4236637
35840,41.615759,-93.57875
35841,41.682385,-93.698315
36343,32.236156,-110.781792
36363,39.155907,-76.717216
36368,40.286518,-74.807516
36371,44.009797,-123.033213
36378,29.756604,-95.372854
36532,42.97167,-73.774182
36610,34.44198,-119.829553
36619,41.892757,-87.626038
36709,34.950136,-81.93279
36710,34.951926,-81.931714
36711,34.715982,-81.624616
36923,41.157925,-73.240315
36924,41.305794,-72.927405
36928,41.355486,-72.093784
36931,41.119291,-73.369266
36932,41.951328,-72.663078
36949,42.592469,-87.915847
36951,43.091229,-89.52884
37097,41.503373,-81.639054
37104,38.417603,-82.456866
37154,28.429015,-81.458938
37166,38.694036,-90.4218
37170,45.522609,-122.988535
37171,45.520533,-122.978089
37181,47.614744,-122.193162
37651,45.509326,-122.666392
37655,40.74686,-111.876
37679,41.770428,-72.687141
37681,41.879631,-72.729919
37683,38.92591,-94.72819
37813,42.36262,-72.5395
37835,26.465314,-80.07219
38082,47.545324,-122.0195
38083,47.675897,-122.091237
38096,41.765253,-72.671569
38254,42.349249,-71.041557
38298,34.00741493349311,-81.03480060447691
