42.278522, -83.734395, Ann Arbor District Library, Ann Arbor, MI

42.275755, -83.731909, University of Michigan Museum of Art, Ann Arbor, MI

42.283152, -83.831588, Buhr Park, Ann Arbor, MI

42.298867, -83.710858, The George, Ann Arbor, MI

42.302144, -83.704921, County Farm Park, Ann Arbor, MI

42.326071, -83.048459, Detroit Opera House, Detroit, MI

42.331608, -83.042002, Detroit Riverfront, Detroit, MI

42.335765, -83.049767, Little Caesars Arena, Detroit, MI

42.359315, -82.998275, Belle Isle Aquarium, Detroit, MI

42.328667, -83.040460, Detroit Historical Museum, Detroit, MI

42.281057, -83.745933, Nickels Arcade, Ann Arbor, MI

42.277310, -83.738286, Ann Arbor Art Center, Ann Arbor, MI

42.283295, -83.781623, Cobblestone Farm Association, Ann Arbor, MI

42.475504, -83.633788, Detroit Pistons Performance Center, Detroit, MI

42.283152, -83.831588, Domino's Petting Farm, Ann Arbor, MI

42.278862, -83.760652, Gallup Park, Ann Arbor, MI

42.331741, -83.044872, Comerica Park, Detroit, MI

42.340186, -83.472426, Detroit Race Course, Detroit, MI

42.337154, -83.051540, Fox Theatre, Detroit, MI

42.399469, -83.148658, The Detroit Museum of Contemporary Art, Detroit, MI

42.253517, -83.179183, Ford Lake, Ypsilanti, MI

42.294649, -83.717973, Briarwood Mall, Ann Arbor, MI

42.286067, -83.714627, Michigan Theater, Ann Arbor, MI

42.441266, -82.986456, Detroit Golf Club, Detroit, MI

42.280936, -83.739187, The Ark, Ann Arbor, MI

42.328067, -83.046867, Sightseeing Pass Detroit, Detroit, MI

42.360003, -82.989288, Riverfront-Lakewood East Park, Detroit, MI

42.307597, -83.695349, Yost Ice Arena, Ann Arbor, MI

42.326016, -83.220421, Detroit Observatory, Ann Arbor, MI

42.331457, -83.042997, Detroit Princess Riverboat, Detroit, MI

42.328725, -83.039837, Michigan Soldiers' and Sailors' Monument, Detroit, MI

42.303967, -83.697376, Redbud Nature Area, Ann Arbor, MI

42.426578, -83.222875, Detroit Popcorn Company, Detroit, MI

42.316784, -83.997439, New Center Stamping, Detroit, MI

42.272087, -83.739965, Argus Farm Stop, Ann Arbor, MI

42.279495, -83.738657, Nickels Arcade, Ann Arbor, MI

42.266264, -83.765508, Sheraton Ann Arbor Hotel, Ann Arbor, MI

42.506361, -82.992252, Detroit Belle Isle Grand Prix, Detroit, MI

42.275333, -83.732904, Taste Kitchen, Ann Arbor, MI

42.2801, -83.7475, Kerrytown, Ann Arbor, MI

42.330727, -83.046270, Detroit Opera House, Detroit, MI

42.487820, -83.147162, Ferndale Public Library, Ferndale, MI

42.3736, -83.4646, Greenfield Village, Dearborn, MI

42.335488, -83.053426, Motown Museum, Detroit, MI

42.3102, -83.2017, Detroit Industrial Projects, Detroit, MI

42.3314, -83.0697, Greektown Historic District, Detroit, MI 

42.3314, -83.0370, Madison Building, Detroit, MI 

42.3314, -83.0484, Detroit Athletic Club, Detroit, MI

42.3314, -83.1815, The Rooster Tail, Detroit, MI

42.3314, -83.0366, Hart Plaza, Detroit, MI

42.3297, -83.0412, Music Hall Center for the Performing Arts, Detroit, MI

42.3299, -83.0395, Gem Theatre, Detroit, MI

42.3330, -82.9947, The Heidelberg Project, Detroit, MI

42.3189, -83.0395, Detroit Children’s Museum, Detroit, MI

42.3120, -83.0855, Detroit City Distillery, Detroit, MI

42.3329, -83.0790, Saint Andrews Hall, Detroit, MI

42.3960, -82.9193, Detroit Yacht Club, Detroit, MI

42.3593, -83.0670, Detroit Artists' Market, Detroit, MI

42.3599, -83.0667, Detroit School of Burlesque, Detroit, MI

42.3834, -83.1024, Majestic Theatre, Detroit, MI

42.3728, -83.0627, Detroit Amtrak Station, Detroit, MI

42.3989, -83.1174, The Detroit Curling Club, Detroit, MI

42.4733, -83.2218, Detroit Golf Club, Detroit, MI

42.3688, -83.0797, Detroit Music Hall, Detroit, MI

42.2326, -83.3331, Matthaei Botanical Gardens, Ann Arbor, MI

42.2796, -83.7437, Kerrytown Concert House, Ann Arbor, MI

42.2616, -83.7466, Ann Arbor Municipal Airport, Ann Arbor, MI

42.303201, -83.706507, Cobblestone Farm, Ann Arbor, MI

42.3228, -83.7407, Scarlett Mitchell Nature Area, Ann Arbor, MI

42.2853, -83.7178, Pioneer High School, Ann Arbor, MI

