Fuel Type Code	Station Name	Street Address	Intersection Directions	City	State	ZIP	Plus4	Station Phone	Status Code	Expected Date	Groups With Access Code	Access Days Time	Cards Accepted	BD Blends	NG Fill Type Code	NG PSI	EV Level1 EVSE Num	EV Level2 EVSE Num	EV DC Fast Count	EV Other Info	EV Network	EV Network Web	Geocode Status	Latitude	Longitude	Date Last Confirmed	ID	Updated At	Owner Type Code	Federal Agency ID	Federal Agency Name	Open Date	Hydrogen Status Link	NG Vehicle Class	LPG Primary	E85 Blender Pump	EV Connector Types	Country	Intersection Directions (French)	Access Days Time (French)	BD Blends (French)	Groups With Access Code (French)	Hydrogen Is Retail	Access Code	Access Detail Code	Federal Agency Code	Facility Type	CNG Dispenser Num	CNG On-Site Renewable Source	CNG Total Compression Capacity	CNG Storage Capacity	LNG On-Site Renewable Source	E85 Other Ethanol Blends	EV Pricing	EV Pricing (French)	LPG Nozzle Types	Hydrogen Pressures	Hydrogen Standards	CNG Fill Type Code	CNG PSI	CNG Vehicle Class	LNG Vehicle Class	EV On-Site Renewable Source	Restricted Access	RD Blends	RD Blends (French)	RD Blended with Biodiesel	RD Maximum Biodiesel Level	NPS Unit Name	CNG Station Sells Renewable Natural Gas	LNG Station Sells Renewable Natural Gas	Maximum Vehicle Class	EV Workplace Charging
ELEC	Walmart 2508 - Boise, ID	8300 W. Overland Rd		Boise	ID	83709		833-632-2778	E		Public	24 hours daily							4.0		Electrify America	https://www.electrifyamerica.com/	GPS	43.59142	-116.28359	2023-11-14	121715	2023-11-14 00:57:37 UTC				2019-04-26					CHADEMO J1772COMBO	US				Public		public																													False
ELEC	Oxford Suites Boise - Tesla Supercharger	1426 South Entertainment Ave.		Boise	ID	83709		877-798-3752	E		Public	24 hours daily							8.0		Tesla	https://www.tesla.com/supercharger	200-9	43.592251	-116.27942	2023-07-01	102147	2023-07-14 19:41:28 UTC	P			2015-08-01					TESLA	US				Public		public																													False
ELEC	BOISE STATE BRONCO CIRCLE	1402 Bronco Ln		Boise	ID	83706		888-758-4389	E		Public	24 hours daily						2.0			ChargePoint Network	http://www.chargepoint.com/	GPS	43.601863	-116.200223	2023-11-14	154020	2023-11-14 00:11:57 UTC				2020-02-27					J1772	US				Public		public																													False
ELEC	CBW PROPERTIES BM-1	7196-7274 Colonial St		Boise	ID	83709		888-758-4389	E		Public	24 hours daily						2.0			ChargePoint Network	http://www.chargepoint.com/	GPS	43.601483	-116.272221	2023-11-14	88432	2023-11-14 00:14:59 UTC				2017-11-14					J1772	US				Public		public																													False
ELEC	CHARGEPOINT#1 E-470 EAST	22470 E Stephen D. Hogan Parkway		Aurora	CO	80018		888-758-4389	E		Public	24 hours daily							1.0		ChargePoint Network	http://www.chargepoint.com/	GPS	39.718408	-104.725254	2023-11-14	213902	2023-11-14 00:41:29 UTC				2022-04-13					CHADEMO J1772COMBO	US				Public		public																													False
ELEC	Evergreen 56th and Tower (Denver, CO)	18552 E 57th Ave		Denver	CO	80249		833-632-2778	E		Public	24 hours daily							6.0		Electrify America	https://www.electrifyamerica.com/	GPS	39.79994	-104.7709	2023-11-14	206173	2023-11-14 00:58:09 UTC				2022-02-11					CHADEMO J1772COMBO	US				Public		public																													False
ELEC	Walmart 1689 (Aurora, CO)	5650 S Chambers Rd		Aurora	CO	80015		833-632-2778	E		Public	24 hours daily							4.0		Electrify America	https://www.electrifyamerica.com/	GPS	39.6136	-104.81337	2023-11-14	190430	2023-11-14 00:58:04 UTC				2021-05-30					CHADEMO J1772COMBO	US				Public		public																													False
ELEC	Whole Foods Tamarac	7400 E Hampden Ave		Denver	CO	80231		877-455-3833	E		Public	24 hours daily							4.0		eVgo Network	https://www.evgo.com/	GPS	39.651556	-104.902229	2023-11-13	228712	2023-11-13 23:57:00 UTC				2022-09-21					CHADEMO J1772COMBO	US				Public		public																													False
ELEC	Walmart 5137 (Aurora, CO)	6101 SOUTH AURORA PARKWAY		Aurora	CO	80016		833-632-2778	E		Public	24 hours daily							4.0		Electrify America	https://www.electrifyamerica.com/	GPS	39.60584	-104.70639	2023-11-14	190431	2023-11-14 00:58:13 UTC				2021-05-30					CHADEMO J1772COMBO	US				Public		public																													False
ELEC	Monaco Square	942 S Monaco Pkwy		Denver	CO	80224		877-455-3833	E		Public	24 hours daily							4.0		eVgo Network	https://www.evgo.com/	GPS	39.698655	-104.912086	2023-11-13	228672	2023-11-13 23:56:55 UTC				2020-04-24					CHADEMO J1772COMBO	US				Public		public																													False
